fc,alpha,delta,root,smooth_factor
110.29025,0.77039915,1.9850589,1.9545465,0.055023097
145.17166,0.8168476,2.0057075,1.9736757,0.06589746
203.35808,0.8255594,2.0280344,1.9905981,0.079718694
254.9305,0.8757563,2.0009246,1.9838092,0.083839364
310.0298,0.8950137,2.0407112,2.0131748,0.07354496
391.33517,0.89666474,1.9939069,2.0066454,0.09226002
444.06534,0.91950256,2.0065513,2.0227437,0.097988226
520.18536,0.9157389,2.0401597,2.0305152,0.09085228
599.768,0.90770143,2.0389128,2.052332,0.1056891
667.61334,0.9124407,1.9998498,2.0206842,0.100551575
750.0365,0.9120875,2.0044663,2.0162148,0.09368973
838.48193,0.9078074,1.9978892,2.012735,0.08515812
958.89764,0.897876,1.9958854,2.0155551,0.09883968
1016.14154,0.8910497,1.9870255,1.9890947,0.09263819
1119.813,0.8905883,1.9822721,1.9957815,0.08577753
1230.5687,0.9230976,1.9878,1.9875224,0.08748622
1388.4677,0.93669015,1.999875,2.0022278,0.088897035
1483.7444,0.9320433,2.0073447,2.0017407,0.077372015
1617.8779,0.9289964,1.9825432,1.9934772,0.09243648
1763.788,0.92614603,1.9998927,2.0029466,0.089903824
1903.59,0.9149758,2.0204709,2.0146017,0.0837501
2052.1248,0.9270695,1.9714587,1.9733714,0.08806662
2247.9417,0.90965605,1.9987477,1.9900143,0.072414905
2418.2136,0.92421496,1.9666061,1.9696496,0.081266165
2626.457,0.91939616,1.961743,1.9657005,0.076886795
2835.3047,0.9352616,1.9893886,1.9923384,0.07731755
3016.2498,0.947243,1.9802672,1.985486,0.088549376
3218.7004,0.9372203,1.9722103,1.9733518,0.08586297
3463.0603,0.93186533,1.974757,1.9751062,0.065282896
3729.7805,0.93643343,1.9985715,2.0033312,0.069998436
4077.3577,0.943431,1.9867853,1.9911306,0.08026056
4319.9395,0.9426688,1.9976656,1.9953254,0.075979896
4616.0625,0.94401866,1.9975334,1.9902811,0.07796517
4978.4937,0.9533636,1.9786656,1.979798,0.08153723
5274.6934,0.9354914,1.985297,1.984094,0.071906395
5641.7983,0.9520298,1.9878994,1.9802288,0.069737345
6091.5586,0.95396316,1.9830792,1.9770792,0.060948946
6498.724,0.9462791,2.000355,1.9993879,0.09087406
6909.9604,0.9525356,1.9859197,1.9869101,0.070061676
7345.0396,0.9391819,1.9983869,1.9961699,0.06265572
