fc,alpha,delta,root,smooth_factor
51.345406,0.9067101,1.7506043,1.6864718,0.14856732
13.955187,0.92434764,1.907626,1.9182339,0.13362962
107.14595,0.9273445,1.946633,1.9209827,0.12495148
167.72124,0.9332006,1.9766841,1.9898736,0.13214369
222.66653,0.9310681,1.9683108,1.9778018,0.13467942
274.76105,0.9320902,1.9886686,1.9977902,0.13715915
343.55875,0.93190664,1.9816368,1.9944572,0.13846628
418.1956,0.9328513,1.9997214,1.9899162,0.13541842
483.8316,0.930384,1.959891,1.989358,0.1336618
567.1877,0.9329389,1.9699978,1.9797938,0.13543478
649.2446,0.9310892,1.9495217,1.9787755,0.13593791
747.38727,0.9327427,1.9777158,1.9907691,0.13428219
856.785,0.9293066,1.9618199,1.9790149,0.13295348
953.4908,0.9323243,1.9602611,1.9930626,0.13620768
1072.3248,0.93153936,1.9508592,1.974271,0.13510074
1176.2936,0.93385,1.9592173,1.9879665,0.13338502
1291.5538,0.93018144,1.9469868,1.9683845,0.13424243
1434.731,0.9326999,1.966304,1.9784756,0.13735688
1574.2576,0.9318888,1.9643258,1.9928713,0.13603836
1714.8035,0.9309899,1.9560208,1.9889655,0.13547221
1888.9141,0.9324472,1.9674689,1.9801995,0.13783908
2040.8333,0.9306903,1.9697247,1.9905623,0.13895181
2215.352,0.931066,1.9749131,1.9809403,0.14000855
2425.5288,0.9315906,1.9865899,1.9902004,0.13516098
2624.9434,0.9327576,1.9850286,1.9965156,0.13570441
2818.8716,0.9339935,2.0032609,2.027243,0.13177522
3017.1724,0.9316524,1.9756157,1.9953902,0.13436504
3269.6824,0.9324261,1.969207,1.9854349,0.13173486
3503.658,0.93524575,1.9933921,2.0042784,0.1375955
3744.0374,0.93376774,2.0101643,2.012273,0.13083549
4055.9282,0.9324446,1.9764416,1.979438,0.12630287
4371.0493,0.9367288,1.9943876,2.0101626,0.12506402
4664.0186,0.93218493,1.9621887,1.9773731,0.13721538
5001.3184,0.93140495,1.9685214,1.9885335,0.13202122
5343.576,0.93040496,1.9472606,1.9652226,0.13066393
5754.3833,0.9304955,1.9353865,1.9366776,0.1259086
6179.8877,0.9285483,1.9508076,1.9321342,0.12037634
6682.357,0.9294148,1.9524599,1.948724,0.123826236
7195.807,0.9285866,1.9405491,1.924742,0.111023664
7638.2266,0.930553,1.9418732,1.9257603,0.095762275
