fc,alpha,delta,root,smooth_factor
109.509605,0.91891557,2.0257683,1.9931055,0.036080904
158.8176,0.8780733,1.9995943,1.9931625,0.05150661
226.10867,0.8738962,1.9959418,1.9987622,0.04982106
281.1664,0.88170034,2.0353854,2.0112689,0.060371608
340.89496,0.854492,1.9799252,2.0030625,0.05603875
401.03146,0.8701965,2.0208046,2.0036912,0.060175154
448.17123,0.8828085,2.0286574,1.9947298,0.05509333
511.95114,0.8909912,1.9793867,1.9952292,0.053369775
579.89905,0.9020808,2.0020566,2.0044641,0.05941516
657.3448,0.8891404,2.025187,1.9986651,0.06186502
738.5375,0.8938731,2.0048835,1.9932055,0.06392039
840.96277,0.87180054,2.013868,1.9938582,0.06269692
930.6937,0.87967616,2.0099912,1.9945557,0.061269984
1039.3519,0.89626026,2.027433,2.0020554,0.056041908
1146.3079,0.8946871,2.008654,1.9891477,0.060801685
1242.2062,0.89981145,2.0086057,1.9923677,0.048361942
1363.0511,0.90146893,2.0025887,1.984968,0.055402398
1499.2279,0.9067119,1.963599,1.9842478,0.056982875
1593.9271,0.8984374,1.9819804,2.0011084,0.055554308
1755.7351,0.89745843,1.9694995,1.9970412,0.054106046
1866.932,0.9072839,1.9642543,1.9849051,0.05084053
2049.3818,0.89160883,1.995818,1.9990454,0.055372022
2234.5725,0.9148249,1.9775128,1.992172,0.052971892
2408.9736,0.9213516,1.9839001,2.0115752,0.055210013
2596.6921,0.93053156,1.9856539,2.0156887,0.05775651
2796.5574,0.9022866,2.0050402,2.0120769,0.05388515
3028.1316,0.9279797,1.9978263,2.0024529,0.056396924
3270.6162,0.9301594,2.0141835,2.0071251,0.04958028
3479.712,0.9172737,2.0235188,2.0198095,0.06454271
3781.8906,0.9227093,2.005938,2.0110312,0.052697502
4068.6702,0.91578615,2.0025523,2.0130844,0.058419272
4324.6963,0.925887,1.9892486,1.9925951,0.05043682
4624.4453,0.9248682,1.9790632,1.9878383,0.048166584
4963.8984,0.9196311,1.9750843,1.9821972,0.0375361
5263.94,0.9279393,1.9701519,1.9853897,0.055165954
5672.586,0.934253,1.9657911,1.9797801,0.065984584
6134.3623,0.91522574,1.9597229,1.9688126,0.039372977
6540.8423,0.9215974,1.9515418,1.9539247,0.04307295
7032.3354,0.9378613,1.9563304,1.9601178,0.036434244
7579.2485,0.95631003,1.9465367,1.9579118,0.020623434
