,0
0,110.29025
1,145.17166
2,203.35808
3,254.9305
4,310.0298
5,391.33517
6,444.06534
7,520.18536
8,599.768
9,667.61334
10,750.0365
11,838.48193
12,958.89764
13,1016.14154
14,1119.813
15,1230.5687
16,1388.4677
17,1483.7444
18,1617.8779
19,1763.788
20,1903.59
21,2052.1248
22,2247.9417
23,2418.2136
24,2626.457
25,2835.3047
26,3016.2498
27,3218.7004
28,3463.0603
29,3729.7805
30,4077.3577
31,4319.9395
32,4616.0625
33,4978.4937
34,5274.6934
35,5641.7983
36,6091.5586
37,6498.724
38,6909.9604
39,7345.0396
