,0
0,0.39175874
1,0.44848102
2,0.4268926
3,0.40297547
4,0.45904833
5,0.43066815
6,0.41971934
7,0.4164517
8,0.42507052
9,0.41459456
10,0.4367451
11,0.42973617
12,0.432288
13,0.44231382
14,0.40662605
15,0.42618823
16,0.436292
17,0.4338195
18,0.4174843
19,0.42301658
20,0.42551965
21,0.40363732
22,0.42320895
23,0.40931597
24,0.4189505
25,0.4224361
26,0.42409638
27,0.4156874
28,0.40878442
29,0.40435818
30,0.42130962
31,0.41296744
32,0.39548466
33,0.38743126
34,0.4104812
35,0.4031874
36,0.3943994
37,0.40506795
38,0.39215788
39,0.4130397
