,0
0,51.345406
1,13.955187
2,107.14595
3,167.72124
4,222.66653
5,274.76105
6,343.55875
7,418.1956
8,483.8316
9,567.1877
10,649.2446
11,747.38727
12,856.785
13,953.4908
14,1072.3248
15,1176.2936
16,1291.5538
17,1434.731
18,1574.2576
19,1714.8035
20,1888.9141
21,2040.8333
22,2215.352
23,2425.5288
24,2624.9434
25,2818.8716
26,3017.1724
27,3269.6824
28,3503.658
29,3744.0374
30,4055.9282
31,4371.0493
32,4664.0186
33,5001.3184
34,5343.576
35,5754.3833
36,6179.8877
37,6682.357
38,7195.807
39,7638.2266
