,0
0,0.19798094
1,0.2912144
2,0.22314456
3,0.30334717
4,0.22925521
5,0.36065525
6,0.32689822
7,0.46275532
8,0.4023889
9,0.4816131
10,0.47640738
11,0.5002885
12,0.48815596
13,0.50007236
14,0.50034887
15,0.50017524
16,0.48377395
17,0.48298198
18,0.4832868
19,0.500265
20,0.47153854
21,0.50027466
22,0.5004886
23,0.5002912
24,0.48313728
25,0.50019443
26,0.46856937
27,0.50025266
28,0.50030917
29,0.500396
30,0.50048715
31,0.5004142
32,0.48529503
33,0.5002645
34,0.5001221
35,0.50026417
36,0.5002733
37,0.5006637
38,0.5005463
39,0.42550507
