,0
0,109.509605
1,158.8176
2,226.10867
3,281.1664
4,340.89496
5,401.03146
6,448.17123
7,511.95114
8,579.89905
9,657.3448
10,738.5375
11,840.96277
12,930.6937
13,1039.3519
14,1146.3079
15,1242.2062
16,1363.0511
17,1499.2279
18,1593.9271
19,1755.7351
20,1866.932
21,2049.3818
22,2234.5725
23,2408.9736
24,2596.6921
25,2796.5574
26,3028.1316
27,3270.6162
28,3479.712
29,3781.8906
30,4068.6702
31,4324.6963
32,4624.4453
33,4963.8984
34,5263.94
35,5672.586
36,6134.3623
37,6540.8423
38,7032.3354
39,7579.2485
