,0
0,0.38149437
1,0.3907977
2,0.38853642
3,0.39197272
4,0.40390977
5,0.4072549
6,0.40010995
7,0.3976387
8,0.41519797
9,0.3961456
10,0.42432708
11,0.37832433
12,0.43097177
13,0.45574912
14,0.3845425
15,0.43020275
16,0.37426856
17,0.38877434
18,0.40874887
19,0.4050553
20,0.37917477
21,0.35401964
22,0.4310278
23,0.41620833
24,0.39837417
25,0.3782661
26,0.3806646
27,0.3664315
28,0.3868345
29,0.37472722
30,0.38455552
31,0.37994367
32,0.37222052
33,0.39604685
34,0.38437662
35,0.3765613
36,0.38911867
37,0.38586828
38,0.38506937
39,0.41115212
