epochs,loss,sparse_categorical_accuracy,val_loss,val_sparse_categorical_accuracy
0,0.1687690168619156,0.9565436244010925,0.11581911146640778,0.9637695550918579
1,0.042969025671482086,0.9865163564682007,0.10638552159070969,0.966937243938446
2,0.03608347848057747,0.9887499809265137,0.10715188831090927,0.9665412902832031
3,0.03171436861157417,0.9904456734657288,0.10688804090023041,0.9674322009086609
4,0.028615782037377357,0.9911239743232727,0.10118785500526428,0.9698079824447632
5,0.026750044897198677,0.9918256402015686,0.10150889307260513,0.9692140221595764
6,0.025267699733376503,0.9922934174537659,0.10436464101076126,0.9690160155296326
7,0.02392752468585968,0.9929131865501404,0.1108357384800911,0.9642645120620728
8,0.0220823734998703,0.9930534958839417,0.10836215317249298,0.9684221148490906
9,0.021752571687102318,0.9932640194892883,0.10329083353281021,0.9699069261550903
